date,start_time,round,dayofweek,venue,result,goals_for,goals_against,opponent,passes_completed_x,passes_x,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,goals,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,passes_y,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_y,passes_offsides,passes_blocked,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions_x,tackles_interceptions,clearances,errors,possession,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions_y,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
2020-09-12,12:30,Matchweek 1,Sat,Home,L,0,3,Fulham,485,562,86.3,8521,2697,224,241,92.9,202,223,90.6,50,76,65.8,0,0.1,0.2,3,35,2,2,27,0,5,2,40.0,0.0,0.0,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,562,517,43,13,0,2,15,20,2,0,2,0,485,2,4,8,7,0,0,0,1,0,0,0,0,0,0,0,0,11,7,5,4,2,3,9,33.3,6,9,4,5,10,21,11,1,46,638,72,221,290,133,3,638,12,6,50.0,6,50.0,391,1686,741,10,11,1,18,6,483,27,2,0,0,12,11,2,15,10,7,0,0,0,46,8,5,61.5,2020
2020-09-19,20:00,Matchweek 2,Sat,Away,L,1,2,West Ham,340,434,78.3,5740,2013,181,204,88.7,115,140,82.1,37,64,57.8,1,1.5,0.8,9,21,5,4,25,1,14,2,14.3,0.07,0.5,18.1,1,0,0,2.0,2.0,0.15,-1.0,-1.0,434,385,47,15,0,2,27,19,5,3,2,0,340,2,7,24,14,3,2,3,1,1,2,2,0,0,0,0,0,10,5,6,3,1,4,12,33.3,8,16,3,13,10,20,28,0,38,540,68,178,238,129,19,540,11,5,45.5,6,54.5,318,1527,810,19,14,2,12,2,339,25,1,0,0,13,11,2,27,10,5,0,0,0,34,14,16,46.7,2020
2020-09-28,20:00,Matchweek 3,Mon,Home,W,3,1,Liverpool,712,823,86.5,11958,3726,332,356,93.3,300,339,88.5,57,88,64.8,1,1.7,0.8,15,49,12,2,46,3,21,8,38.1,0.14,0.38,17.9,0,0,0,2.7,2.7,0.13,0.3,0.3,823,771,52,12,1,1,22,28,7,1,5,0,712,0,8,38,30,2,3,2,0,1,5,4,0,0,1,0,0,10,6,2,7,1,3,8,37.5,5,10,0,10,6,16,14,1,66,920,50,185,521,218,32,920,12,8,66.7,4,33.3,646,2478,1048,22,15,8,17,7,707,44,2,0,0,11,7,0,22,6,6,0,0,0,51,6,11,35.3,2020
2020-10-04,14:00,Matchweek 4,Sun,Away,L,1,2,Sheffield Utd,313,414,75.6,4801,1593,168,191,88.0,98,119,82.4,25,60,41.7,1,0.1,0.3,4,20,4,1,30,1,6,2,33.3,0.17,0.5,24.7,0,0,0,0.2,0.2,0.03,0.8,0.8,414,380,31,3,0,4,18,16,4,4,0,0,313,3,12,9,8,1,0,0,0,0,1,1,0,0,0,0,0,11,4,8,1,2,6,18,33.3,12,12,1,11,5,16,23,1,36,507,56,137,219,157,15,507,10,7,70.0,3,30.0,234,1418,679,14,14,1,11,5,311,30,1,0,0,9,3,3,18,5,4,0,0,0,41,14,17,45.2,2020
2020-10-17,17:30,Matchweek 5,Sat,Home,W,1,0,Manchester City,604,689,87.7,8937,2702,351,372,94.4,188,202,93.1,36,66,54.5,0,0.9,0.7,11,38,9,1,32,1,13,5,38.5,0.08,0.2,17.7,0,0,0,1.3,1.3,0.11,-0.3,-0.3,689,647,42,12,0,2,10,13,6,2,1,0,604,0,10,24,22,0,0,2,0,0,1,0,0,0,1,0,0,11,5,4,4,3,5,14,35.7,9,7,3,4,8,19,8,0,58,771,66,169,403,204,24,771,18,10,55.6,8,44.4,550,2261,1104,21,23,7,11,5,601,32,4,0,0,15,10,0,10,8,5,0,0,0,47,15,12,55.6,2020
2020-10-25,19:15,Matchweek 6,Sun,Away,W,1,0,Leicester City,390,481,81.1,6419,2149,196,213,92.0,126,147,85.7,41,71,57.7,1,0.6,0.6,3,14,2,0,20,1,6,2,33.3,0.17,0.5,29.5,1,0,0,0.7,0.7,0.12,0.3,0.3,481,442,39,13,1,2,5,15,3,0,1,0,390,0,7,10,7,0,0,0,1,2,2,2,0,0,0,0,0,11,6,4,6,1,6,8,75.0,2,12,3,9,10,21,24,0,44,579,76,198,282,106,7,579,13,7,53.8,6,46.2,304,1453,691,13,9,4,11,9,386,20,5,0,0,9,13,0,5,10,6,0,0,0,43,15,10,60.0,2020
2020-11-01,16:30,Matchweek 7,Sun,Home,L,0,1,Manchester Utd,512,615,83.3,8080,2264,261,283,92.2,202,224,90.2,32,64,50.0,0,0.4,0.7,8,32,7,1,26,0,8,2,25.0,0.0,0.0,19.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,615,560,51,13,1,1,18,21,6,1,5,0,512,4,6,15,11,2,0,0,1,1,0,0,0,0,0,0,0,10,7,6,3,1,6,12,50.0,6,9,0,9,8,18,12,0,54,700,58,212,339,154,24,700,13,5,38.5,8,61.5,394,2209,1062,14,9,1,11,12,506,26,3,0,0,12,12,4,18,8,7,0,1,0,54,18,9,66.7,2020
2020-11-08,19:15,Matchweek 8,Sun,Away,W,3,0,Aston Villa,312,408,76.5,5769,2256,134,156,85.9,119,137,86.9,44,87,50.6,2,1.7,1.1,14,23,15,1,38,2,15,5,33.3,0.13,0.4,12.7,0,0,0,1.8,1.8,0.12,0.2,0.2,408,365,42,12,0,2,15,11,8,1,2,3,312,1,7,26,22,2,2,0,0,0,4,4,0,0,0,0,0,14,6,4,6,4,7,15,46.7,8,7,3,4,8,22,26,1,41,517,70,155,220,152,33,517,15,12,80.0,3,20.0,247,1352,745,22,20,8,19,4,308,38,0,0,0,13,11,1,15,8,6,0,0,0,49,15,11,57.7,2020
2020-11-22,16:30,Matchweek 9,Sun,Home,D,0,0,Leeds United,544,655,83.1,8754,2498,233,257,90.7,270,314,86.0,26,49,53.1,0,1.4,1.2,16,43,15,3,54,0,25,4,16.0,0.0,0.0,18.0,0,0,0,1.8,1.8,0.07,-1.8,-1.8,655,618,37,10,0,2,27,16,5,1,2,0,544,0,3,44,34,2,1,5,0,2,0,0,0,0,0,0,0,18,8,6,7,5,6,20,30.0,14,4,1,3,9,27,15,0,66,752,45,165,351,242,36,752,6,4,66.7,2,33.3,468,2798,1732,39,30,3,7,8,539,54,3,0,0,9,8,0,27,9,8,0,0,0,67,11,11,50.0,2020
2020-11-29,19:15,Matchweek 10,Sun,Away,W,2,1,Wolves,346,437,79.2,6485,2258,135,159,84.9,138,159,86.8,49,79,62.0,0,1.0,1.2,8,25,5,0,22,2,11,5,45.5,0.18,0.4,12.1,0,0,0,1.8,1.8,0.18,0.2,0.2,437,387,50,15,0,4,11,20,4,3,0,0,346,0,9,20,13,1,3,3,0,0,3,0,0,1,2,0,0,12,4,8,3,1,4,6,66.7,2,11,4,7,12,24,38,1,44,568,95,213,258,103,21,568,13,10,76.9,3,23.1,278,1572,944,20,9,9,19,10,338,22,4,0,0,13,12,0,11,12,4,0,0,0,33,14,16,46.7,2020
